SKU,Processor,vCPUs (Qty.),Memory (GB),Max Temp Storage Disks (Qty.),Temp Disk Size (GiB),Temp Disk Random Read (RR)1 IOPS,Temp Disk Random Read (RR)1 Throughput (MB/s),Temp Disk Random Write (RW)1 IOPS,Temp Disk Random Write (RW)1 Throughput (MB/s),Max Remote Storage Disks (Qty.),Uncached Premium SSD IOPS,Uncached Premium SSD Throughput (MB/s),Uncached Premium SSD Burst1 IOPS,Uncached Premium SSD Burst1 Throughput (MB/s),Uncached Ultra Disk and Premium SSD v2 IOPS,Uncached Ultra Disk and Premium SSD v2 Throughput (MB/s),Uncached Burst1 Ultra Disk and Premium SSD v2 IOPS,Uncached Burst1 Ultra Disk and Premium SSD v2 Throughput (MB/s),Max NICs (Qty.),Max Network Bandwidth (Mb/s),Premium Storage,Premium Storage caching,Live Migration,Memory Preserving Updates,Generation 2 VMs,Generation 1 VMs,Accelerated Networking,Ephemeral OS Disk,Temporary local NVMe disks,Nested Virtualization,NVMe storage,Constrained core,Accelerators (Qty.),Accelerator-Memory (GB),Temp Disk Random Read (RR)1 Throughput (MBps),Temp Disk Random Write (RW)1 Throughput (MBps),Max Network Bandwidth (Mbps),VM Generation Support,Ephemeral OS Disks,Base CPU Performance of VM (%)1,Initial Credits (Qty.),Credits banked/hour (Qty.),Max Banked Credits (Qty.),Uncached Premium SSD Throughput (MBps),Uncached Premium SSD Burst1 Throughput (MBps),Local temporary storage,Temp Disk Size (GiB)1,Temp Disk Random Read (RR)2 IOPS3,Temp Disk Random Read (RR)2 Throughput (MBps)3,Uncached Ultra Disk and Premium SSD v2 Throughput (MBps),Uncached Burst1 Ultra Disk and Premium SSD v2 Throughput (MBps),Azure Disk Encryption for Linux VMs,Azure Disk Encryption for Windows VMs,"Temp Disk Random Read (RR)1,2 IOPS3","Temp Disk Random Read (RR)1,2 Throughput (MBps)3",Trusted Launch,Cores (Qty.),EPC Memory (GiB),Temp Disk Random Read (RR) IOPS,Temp Disk Random Read (RR) Throughput (MBps),EPC Memory (MiB),Accelerated Networking1,Temp Disk Random Write (RW)2 IOPS3,Temp Disk Random Write (RW)2 Throughput (MBps)3,Uncached Burst1  Ultra Disk and Premium SSD v2 IOPS,Uncached Burst1  Ultra Disk and Premium SSD v2 Throughput (MBps),Memory (GiB),Temp Disk Random Read1 IOPS,Temp Disk Sequential Read 1 Throughput (MBps),Temp Disk Random Write 1 IOPS,Temp Disk Sequential Write1 Throughput (MBps),Max Temp Storage (Qty.),Temp Storage Size (GiB),Temp ReadWrite Storage IOPS,Temp ReadWrite Storage Speed (MBps),Max Remote Storage (Qty.),Uncached Storage IOPS,Uncached Storage Speed (MBps),Uncached Storage Burst1 IOPS,Uncached Storage Burst1 Speed (MBps),Temp Disk Sequential Read1 Throughput (MBps),Temp Disk Random Write1 IOPS,Disk Cache Size (GiB),Cached Disk Random Read (RR)1 IOPS,Cached Disk Random Read (RR)1 Throughput (MBps),Accelerator Memory (GB),Hibernation,Uncached Disk IOPS,Uncached Disk Speed (MBps),Max Bandwidth (Mbps),Temp Disk Size (TB),Max Front-end NICs (Qty.),Max Front-end Bandwidth (Mbps),Max Scale-up NICS (Qty.),Max Scale-Up Bandwidth (Gbps)1,Max Scale-out NICS (Qty.),Max Scale-Out Bandwidth (TBps)2,Max Scale-Up Bandwidth (TBps)1,Max Scale-Out Bandwidth (Gbps)2,Max NVMe Disks (Qty.),NVMe Disk Size (TiB),Infiniband,NVMe Disk Size (GiB),L3 Cache (MB),Memory Bandwidth (GB/s),Base CPU Frequency (GHz),Single-core Frequency Peak (GHz),All-core Frequency Peak (GHz),Local Solid State Disks (Qty.),Local Solid State Disk Size (GiB),Backend NICs (Qty.),RDMA Performance (Gb/s),Backend Network,L3 Cache (GB),Memory Bandwidth (TB/s),Temp Disk Random Read (RR)2 Throughput (MB/s)3,Temp Disk Random Write (RW)2 Throughput (MB/s)3,Temp Disk Random Read (RR)1 IOPS,Temp Disk Random Read (RR)1 Throughput (MB/s),Temp Disk Random Write (RW)1 IOPS,Temp Disk Random Write (RW)1 Throughput (MB/s),Max Temp Disk Random Read (RR)1 IOPS,Max Temp Disk Random Read (RR)1 Throughput (MB/s),Max Temp Disk Cache Size (GiB),Max Temp Disk Burst2 IOPS,Max Temp Disk Burst2 Throughput (MB/s),Max Uncached Premium SSD IOPS,Max Uncached Premium SSD Throughput (MB/s),Max Uncached Premium SSD Burst1 IOPS,Max Uncached Premium SSD Burst1 Throughput (MB/s),Write Accelerator,Max Uncached Ultra Disk and Premium SSD v2 IOPS,Max Uncached Ultra Disk and Premium SSD v2 Throughput (MB/s),Max Temp Disk Sequential Read (SR)1 IOPS,Max Temp Disk Sequential Read (SR)1 Throughput (MB/s),Temp Disk Size (GB),Temp Disk Sequential Read1 Throughput (MB/s),Temp Disk Sequential Write1 Throughput (MB/s)
Standard_F1ads_v7,AMD EPYC 9005 (Turin) [x86-64],1,4,1,110,37500,280,15000,140,10,4000,118,44000,1412,4400,136,48400,1653,2,16000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F2ads_v7,AMD EPYC 9005 (Turin) [x86-64],2,8,1,220,75000,560,30000,280,12,8000,234,47200,1412,8800,273,52083,1653,3,16000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F4ads_v7,AMD EPYC 9005 (Turin) [x86-64],4,16,1,440,150000,1120,60000,560,26,16000,468,47200,1412,17600,547,52083,1653,4,25000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F8ads_v7,AMD EPYC 9005 (Turin) [x86-64],8,32,2,440,300000,2240,120000,1120,48,32000,936,72700,1412,35200,1095,80000,1653,8,25000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F16ads_v7,AMD EPYC 9005 (Turin) [x86-64],16,64,4,440,600000,4480,240000,2240,64,64000,1872,94400,1916,70400,2191,104167,2241,8,25000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F32ads_v7,AMD EPYC 9005 (Turin) [x86-64],32,128,4,880,1200000,8960,480000,4480,64,128000,3744,132000,3832,140800,4382,145200,4484,8,45000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F48ads_v7,AMD EPYC 9005 (Turin) [x86-64],48,192,6,880,1800000,13440,720000,6720,64,192000,5663,192500,5749,211200,6573,211750,6669,8,70000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F64ads_v7,AMD EPYC 9005 (Turin) [x86-64],64,256,4,1760,2400000,17920,960000,8960,64,204800,7488,225280,7663,281600,8764,310886,8966,15,75000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F80ads_v7,AMD EPYC 9005 (Turin) [x86-64],80,320,4,2200,3000000,22400,1200000,11200,64,212000,10344,242640,11410,310000,10356,355443,11450,15,80000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard_F1alds_v7,AMD EPYC 9005 (Turin)  [x86-64],1,2,1,110,37500,280,15000,140,10,4000,118,44000,1412,4400,136,48400,1653,2,16000,Supported,Supported,Supported,Supported,Supported,Not Supported,Supported,Supported,Supported,Supported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
