SKU,vCPUs,Memory_GB,Memory_Ratio,Version,MeterType,OSType,CPUType,Notes,Features,Meter,Product Name,centralus,eastus,eastus2
NC132dsxlRTX6kv6,132,,,v6,On Demand,Unspecified,,,,NC132dsxlRTX6kv6,Virtual Machines NCdsxlRTX6kv6,,6.38,6.38
NC132dsxlRTX6kv6,132,,,v6,On Demand,Windows,,,,NC132dsxlRTX6kv6,Virtual Machines NCdsxlRTX6kv6 Windows,,12.452,12.452
NC132dsxlRTX6kv6,132,,,v6,Spot,Unspecified,,,,NC132dsxlRTX6kv6 Spot,Virtual Machines NCdsxlRTX6kv6,,1.276,1.276
NC132dsxlRTX6kv6,132,,,v6,Spot,Windows,,,,NC132dsxlRTX6kv6 Spot,Virtual Machines NCdsxlRTX6kv6 Windows,,2.4904,2.4904
NC132ldsxlRTX6kv6,132,,,v6,On Demand,Unspecified,,,,NC132ldsxlRTX6kv6,Virtual Machines NCldsxlRTX6kv6,,5.5,5.5
NC132ldsxlRTX6kv6,132,,,v6,On Demand,Windows,,,,NC132ldsxlRTX6kv6,Virtual Machines NCldsxlRTX6kv6 Windows,,11.572,11.572
NC132ldsxlRTX6kv6,132,,,v6,Spot,Unspecified,,,,NC132ldsxlRTX6kv6 Spot,Virtual Machines NCldsxlRTX6kv6,,1.1,1.1
NC132ldsxlRTX6kv6,132,,,v6,Spot,Windows,,,,NC132ldsxlRTX6kv6 Spot,Virtual Machines NCldsxlRTX6kv6 Windows,,2.3144,2.3144
NC16dsxlRTX6Kv6,16,,,v6,On Demand,Unspecified,,,,NC16dsxlRTX6Kv6,Virtual Machines NCdsxlRTX6kv6,,0.18,0.18
NC16dsxlRTX6Kv6,16,,,v6,On Demand,Windows,,,,NC16dsxlRTX6Kv6,Virtual Machines NCdsxlRTX6kv6 Windows,,0.916,0.916
NC16dsxlRTX6Kv6,16,,,v6,Spot,Unspecified,,,,NC16dsxlRTX6Kv6 Spot,Virtual Machines NCdsxlRTX6kv6,,0.036,0.036
NC16dsxlRTX6Kv6,16,,,v6,Spot,Windows,,,,NC16dsxlRTX6Kv6 Spot,Virtual Machines NCdsxlRTX6kv6 Windows,,0.1832,0.1832
