"TimeGenerated","Type","RouteServerName","PeerName","PeerStatus","PeerASN","RSInstance","Network","NextHop","Origin","SourcePeer","AsPath","Weight"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.4","10.9.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.4","10.8.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.4","10.7.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.5","10.9.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.5","10.8.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:54:56","Advertised","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.5","10.7.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:07","Learned","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.4","10.0.0.0/8","10.7.9.7","EBgp","10.7.9.7","65001","32769"
"2025-04-25 09:55:07","Learned","RouteServer1","NVA1","10.7.9.7","65001","10.7.1.5","10.0.0.0/8","10.7.9.7","EBgp","10.7.9.7","65001","32769"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.4","10.9.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.4","10.8.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.4","10.7.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.5","10.9.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.5","10.8.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:19","Advertised","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.5","10.7.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:30","Learned","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.4","10.0.0.0/8","10.7.9.8","EBgp","10.7.9.8","65001","32769"
"2025-04-25 09:55:30","Learned","RouteServer1","NVA2","10.7.9.8","65001","10.7.1.5","10.0.0.0/8","10.7.9.8","EBgp","10.7.9.8","65001","32769"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.4","10.9.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.4","10.8.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.4","10.7.0.0/16","10.7.1.4","Igp",,"65515","0"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.5","10.9.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.5","10.8.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:41","Advertised","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.5","10.7.0.0/16","10.7.1.5","Igp",,"65515","0"
"2025-04-25 09:55:52","Learned","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.4","10.0.0.0/8","10.7.9.9","EBgp","10.7.9.9","65001","32769"
"2025-04-25 09:55:52","Learned","RouteServer1","NVA3","10.7.9.9","65001","10.7.1.5","10.0.0.0/8","10.7.9.9","EBgp","10.7.9.9","65001","32769"
