currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,Tier,Series,SeriesMeaning,Size,Suffix,Meaning,Version
USD,0,0.001335,0.001335,eastus2,US East 2,2/1/2024 0:00,8afc0975-92cb-500d-97be-8d6d764a5898,Standard Spot Memory Duration,DZH318Z0BQV6,DZH318Z0BQV6/00FB,Container Instances,Standard Spot,Container Instances,DZH31976D030,Containers,1 GB Hour,Consumption,TRUE,,,,,,,,
USD,0,0.001335,0.001335,eastus,US East,1/1/2024 0:00,9e9d8de5-90ab-5fca-824d-727ff5650522,Standard Spot Memory Duration,DZH318Z0BQV6,DZH318Z0BQV6/00FP,Container Instances,Standard Spot,Container Instances,DZH31976D030,Containers,1 GB Hour,Consumption,TRUE,,,,,,,,
USD,0,0.001599,0.001599,centralus,US Central,12/1/2023 0:00,7cbf6516-7923-5b54-87b9-7030218a6e85,Standard Spot Memory Duration,DZH318Z0BQV6,DZH318Z0BQV6/00H9,Container Instances,Standard Spot,Container Instances,DZH31976D030,Containers,1 GB Hour,Consumption,TRUE,,,,,,,,
USD,0,0.009627,0.009627,centralus,US Central,8/1/2025 0:00,74536d92-284a-5a43-abfa-a1e6d29560c1,F1/F1s Spot,DZH318Z0BQ51,DZH318Z0BQ51/0170,Virtual Machines F Series,F1 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,TRUE,Standard_F1,,,,,,,
USD,0,0.009627,0.009627,centralus,US Central,8/1/2025 0:00,fdfda11d-fb93-5c82-b4a8-39bf1c7e4257,F1s Spot,DZH318Z0BQ4P,DZH318Z0BQ4P/016N,Virtual Machines FS Series,F1s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,TRUE,Standard_F1s,,,,,,,
USD,0,0.009766,0.009766,eastus,US East,8/1/2025 0:00,4757cbfa-a495-572b-89e8-c087622958c3,F1s Spot,DZH318Z0BQ4P,DZH318Z0BQ4P/0162,Virtual Machines FS Series,F1s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,TRUE,Standard_F1s,,,,,,,
USD,0,0.087595,0.087595,eastus2,US East 2,8/1/2025 0:00,01211b92-385a-5b22-b697-ef43f061143a,E4-2ads v6 Spot,DZH318Z0F5DZ,DZH318Z0F5DZ/075N,Virtual Machines Eadsv6 Series Windows,E4-2ads v6 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,TRUE,Standard_E4-2ads_v6,Standard,E,,2,ads,"Memory optimized, Temporary disk, Supports Premium SSDs, Constrained to 2 vCPUs",v6
USD,0,0.009766,0.009766,eastus,US East,8/1/2025 0:00,73f4eff7-9608-5e48-a1e2-a521f2fbb7cd,F1/F1s Spot,DZH318Z0BQ51,DZH318Z0BQ51/016B,Virtual Machines F Series,F1 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,TRUE,Standard_F1,,,,,,,
USD,0,0.01215,0.01215,eastus2,US East 2,2/1/2024 0:00,99977625-6e34-5bb7-8001-6b668a2cf6a0,Standard Spot vCPU Duration,DZH318Z0BQV6,DZH318Z0BQV6/00FB,Container Instances,Standard Spot,Container Instances,DZH31976D030,Containers,1 Hour,Consumption,TRUE,,,,,,,,
USD,0,0.01215,0.01215,eastus,US East,1/1/2024 0:00,82cab898-9be6-5e5e-b333-65fe2d120730,Standard Spot vCPU Duration,DZH318Z0BQV6,DZH318Z0BQV6/00FP,Container Instances,Standard Spot,Container Instances,DZH31976D030,Containers,1 Hour,Consumption,TRUE,,,,,,,,
